"id","name","viirs_bm_mean","viirs_bm_sum","viirs_bm_syr_mean","viirs_bm_syr_sum","viirs_bm_lbn_mean","viirs_bm_lbn_sum","year","month","date","buffer"
1,"Al Masnaa",21.4471015930176,1532.79443359375,30.683141708374,1478.02233886719,2.35092282295227,54.772045135498,2017,8,2017-08-01,2000
2,"Al Aridah",5.24167394638062,204.28125,1.60783803462982,10.9202661514282,6.0086145401001,193.360992431641,2017,8,2017-08-01,2000
3,"Al Abbudiyah",16.4333381652832,1187.96569824219,10.532265663147,429.790069580078,24.0820751190186,758.175659179688,2017,8,2017-08-01,2000
4,"Al Buqayaa",8.17313766479492,590.941528320312,7.34451723098755,304.517517089844,9.28711414337158,286.424011230469,2017,8,2017-08-01,2000
5,"Al Qaa",5.37511110305786,387.324066162109,3.62889409065247,131.968688964844,7.15427303314209,255.355392456055,2017,8,2017-08-01,2000
6,"Matraba",15.4082622528076,1114.67126464844,14.455979347229,417.361480712891,16.040714263916,697.309692382812,2017,8,2017-08-01,2000
1,"Al Masnaa",36.3294258117676,2596.41333007812,51.1688423156738,2464.82885742188,5.64786577224731,131.584564208984,2018,8,2018-08-01,2000
2,"Al Aridah",6.5142183303833,253.875518798828,4.99096250534058,33.8980903625488,6.83570909500122,219.977416992188,2018,8,2018-08-01,2000
3,"Al Abbudiyah",17.9343433380127,1296.47326660156,13.9912004470825,570.938781738281,23.0452861785889,725.534423828125,2018,8,2018-08-01,2000
4,"Al Buqayaa",10.3972072601318,751.748168945312,8.96284198760986,371.616302490234,12.3255290985107,380.1318359375,2018,8,2018-08-01,2000
5,"Al Qaa",6.97734212875366,502.778900146484,4.04716444015503,147.179550170898,9.96280002593994,355.599334716797,2018,8,2018-08-01,2000
6,"Matraba",22.456693649292,1624.57202148438,19.2731418609619,556.438720703125,24.5710372924805,1068.13342285156,2018,8,2018-08-01,2000
1,"Al Masnaa",26.8404712677002,1918.25109863281,37.0275001525879,1783.63317871094,5.7780647277832,134.617950439453,2019,8,2019-08-01,2000
2,"Al Aridah",5.1808009147644,201.908889770508,4.5008020401001,30.5689716339111,5.32431840896606,171.339920043945,2019,8,2019-08-01,2000
3,"Al Abbudiyah",18.9042720794678,1366.58935546875,13.0691843032837,533.314086914062,26.4674777984619,833.275268554688,2019,8,2019-08-01,2000
4,"Al Buqayaa",9.92489051818848,717.598327636719,8.93297290802002,370.377899169922,11.258397102356,347.220397949219,2019,8,2019-08-01,2000
5,"Al Qaa",4.93568706512451,355.659698486328,3.02504849433899,110.009178161621,6.88237190246582,245.650512695312,2019,8,2019-08-01,2000
6,"Matraba",19.4841594696045,1409.53161621094,18.999340057373,548.533752441406,19.8061504364014,860.997863769531,2019,8,2019-08-01,2000
1,"Al Masnaa",13.0571355819702,933.175231933594,19.3653011322021,932.836242675781,0.0145482290536165,0.338946133852005,2020,8,2020-08-01,2000
2,"Al Aridah",1.90392553806305,74.2007827758789,0,0,2.30575919151306,74.2007827758789,2020,8,2020-08-01,2000
3,"Al Abbudiyah",11.0061149597168,795.6318359375,5.40382957458496,220.514022827148,18.2675743103027,575.117797851562,2020,8,2020-08-01,2000
4,"Al Buqayaa",2.40235185623169,173.696990966797,1.29757571220398,53.799934387207,3.8875846862793,119.89705657959,2020,8,2020-08-01,2000
5,"Al Qaa",4.17714405059814,301,2.74666786193848,99.8855667114258,5.63460826873779,201.114440917969,2020,8,2020-08-01,2000
6,"Matraba",11.4620351791382,829.191589355469,9.69117069244385,279.795745849609,12.6381454467773,549.395812988281,2020,8,2020-08-01,2000
1,"Al Masnaa",5.47295427322388,391.144409179688,8.11999893188477,391.144409179688,0,0,2021,8,2021-08-01,2000
2,"Al Aridah",1.61934876441956,63.110107421875,0.035901140421629,0.243836760520935,1.95354378223419,62.866268157959,2021,8,2021-08-01,2000
3,"Al Abbudiyah",9.16647815704346,662.64453125,3.9562554359436,161.442886352539,15.9197626113892,501.20166015625,2021,8,2021-08-01,2000
4,"Al Buqayaa",4.06053352355957,293.588317871094,4.69620084762573,194.713333129883,3.20595788955688,98.8749923706055,2021,8,2021-08-01,2000
5,"Al Qaa",5.38151073455811,387.785217285156,1.54175770282745,56.067699432373,9.29370498657227,331.717529296875,2021,8,2021-08-01,2000
6,"Matraba",8.11759567260742,587.246643066406,7.38731384277344,213.280624389648,8.6026086807251,373.966033935547,2021,8,2021-08-01,2000
1,"Al Masnaa",8.42545890808105,602.15576171875,12.1645288467407,585.971435546875,0.694662570953369,16.1843204498291,2022,8,2022-08-01,2000
2,"Al Aridah",2.90063905715942,113.045219421387,0.337911784648895,2.2950611114502,3.44151592254639,110.750152587891,2022,8,2022-08-01,2000
3,"Al Abbudiyah",7.22444820404053,522.255187988281,4.11050653457642,167.737411499023,11.2606143951416,354.517761230469,2022,8,2022-08-01,2000
4,"Al Buqayaa",2.10068964958191,151.885940551758,1.99116277694702,82.5573577880859,2.24793434143066,69.3285751342773,2022,8,2022-08-01,2000
5,"Al Qaa",3.15269207954407,227.179214477539,1.4095710515976,51.2605857849121,4.92869901657104,175.91862487793,2022,8,2022-08-01,2000
6,"Matraba",1.78035426139832,128.795166015625,1.24943840503693,36.0727882385254,2.13295936584473,92.7223815917969,2022,8,2022-08-01,2000
1,"Al Masnaa",45.5247421264648,3253.58984375,64.6140899658203,3112.4931640625,6.05614566802979,141.096710205078,2012,9,2012-09-01,2000
2,"Al Aridah",7.89071226119995,307.520965576172,7.12223291397095,48.3734550476074,8.052903175354,259.147491455078,2012,9,2012-09-01,2000
3,"Al Abbudiyah",20.2115173339844,1461.09020996094,24.233154296875,988.882141113281,14.998833656311,472.208068847656,2012,9,2012-09-01,2000
4,"Al Buqayaa",12.0649824142456,872.333129882812,15.4125804901123,639.034606933594,7.56455326080322,233.298492431641,2012,9,2012-09-01,2000
5,"Al Qaa",2.26767158508301,163.405685424805,0.864970862865448,31.4556064605713,3.69683527946472,131.950073242188,2012,9,2012-09-01,2000
6,"Matraba",17.2581272125244,1248.49499511719,21.83327293396,630.352783203125,14.2195663452148,618.142150878906,2012,9,2012-09-01,2000
1,"Al Masnaa",30.4639263153076,2177.21435546875,42.3106803894043,2038.12670898438,5.96991491317749,139.087692260742,2013,9,2013-09-01,2000
2,"Al Aridah",7.68315982818604,299.43212890625,7.29833936691284,49.5695495605469,7.76437854766846,249.862594604492,2013,9,2013-09-01,2000
3,"Al Abbudiyah",26.5646018981934,1920.3544921875,26.1386756896973,1066.64074707031,27.1166706085205,853.713745117188,2013,9,2013-09-01,2000
4,"Al Buqayaa",10.8186798095703,782.221862792969,14.7833118438721,612.943969726562,5.48872709274292,169.277908325195,2013,9,2013-09-01,2000
5,"Al Qaa",3.89072704315186,280.361114501953,2.36479687690735,85.9984130859375,5.44544506072998,194.362701416016,2013,9,2013-09-01,2000
6,"Matraba",14.6316757202148,1058.49108886719,20.7063312530518,597.816650390625,10.5972242355347,460.674438476562,2013,9,2013-09-01,2000
1,"Al Masnaa",22.5238037109375,1609.74487304688,30.8721466064453,1487.12683105469,5.26300191879272,122.617965698242,2014,9,2014-09-01,2000
2,"Al Aridah",7.81947231292725,304.744567871094,5.9373288154602,40.3257102966309,8.21670818328857,264.418853759766,2014,9,2014-09-01,2000
3,"Al Abbudiyah",20.3096885681152,1468.18688964844,16.9120140075684,690.12841796875,24.7136192321777,778.058532714844,2014,9,2014-09-01,2000
4,"Al Buqayaa",6.80824851989746,492.256072998047,6.23201560974121,258.39111328125,7.58292007446289,233.864944458008,2014,9,2014-09-01,2000
5,"Al Qaa",5.46546792984009,393.835052490234,3.45203423500061,125.536987304688,7.5168867111206,268.298065185547,2014,9,2014-09-01,2000
6,"Matraba",11.950930595398,864.559448242188,10.5037508010864,303.255889892578,12.9120674133301,561.303527832031,2014,9,2014-09-01,2000
1,"Al Masnaa",21.397439956665,1529.2451171875,28.7718448638916,1385.95422363281,6.15032196044922,143.290832519531,2015,9,2015-09-01,2000
2,"Al Aridah",2.7653820514679,107.773910522461,0.431863993406296,2.93317461013794,3.25788331031799,104.84073638916,2015,9,2015-09-01,2000
3,"Al Abbudiyah",17.951114654541,1297.68566894531,14.5469903945923,593.618896484375,22.3634052276611,704.066772460938,2015,9,2015-09-01,2000
4,"Al Buqayaa",5.40568780899048,390.846862792969,6.627028465271,274.769073486328,3.76374769210815,116.077796936035,2015,9,2015-09-01,2000
5,"Al Qaa",1.71033024787903,123.244346618652,0.922704577445984,33.5551567077637,2.51281523704529,89.6891860961914,2015,9,2015-09-01,2000
6,"Matraba",12.5584049224854,908.505615234375,13.3430871963501,385.23095703125,12.0372619628906,523.274658203125,2015,9,2015-09-01,2000
1,"Al Masnaa",27.600700378418,1972.58349609375,39.0645904541016,1881.76098632812,3.89827704429626,90.8224639892578,2016,9,2016-09-01,2000
2,"Al Aridah",6.2128496170044,242.130416870117,2.46630215644836,16.7508640289307,7.003577709198,225.379547119141,2016,9,2016-09-01,2000
3,"Al Abbudiyah",21.8400840759277,1578.81921386719,16.7633419036865,684.0615234375,28.4203548431396,894.757629394531,2016,9,2016-09-01,2000
4,"Al Buqayaa",5.00090885162354,361.580200195312,5.6173849105835,232.907363891602,4.17213344573975,128.672836303711,2016,9,2016-09-01,2000
5,"Al Qaa",7.5611629486084,544.848327636719,3.51747727394104,127.916893005371,11.6811370849609,416.931457519531,2016,9,2016-09-01,2000
6,"Matraba",14.7606420516968,1067.82080078125,14.7860813140869,426.891906738281,14.7437477111816,640.928955078125,2016,9,2016-09-01,2000
1,"Al Masnaa",26.9086322784424,1923.12243652344,36.413330078125,1754.04846191406,7.25698518753052,169.073989868164,2017,9,2017-09-01,2000
2,"Al Aridah",6.76244306564331,263.549468994141,4.16750144958496,28.3052310943604,7.31011962890625,235.244247436523,2017,9,2017-09-01,2000
3,"Al Abbudiyah",20.1792221069336,1458.75549316406,14.5465984344482,593.602905273438,27.480001449585,865.152526855469,2017,9,2017-09-01,2000
4,"Al Buqayaa",9.67515468597412,699.541687011719,9.91195297241211,410.968231201172,9.35680770874023,288.573455810547,2017,9,2017-09-01,2000
5,"Al Qaa",5.59753370285034,403.3515625,3.78076338768005,137.491577148438,7.44857931137085,265.859985351562,2017,9,2017-09-01,2000
6,"Matraba",16.2759685516357,1177.44323730469,14.5868358612061,421.139465332031,17.3977966308594,756.303771972656,2017,9,2017-09-01,2000
1,"Al Masnaa",30.6977825164795,2193.927734375,42.6341209411621,2053.70703125,6.01854372024536,140.220657348633,2018,9,2018-09-01,2000
